qid|a1|Lde|a2|P31|a3|P31_2|a4|P625|a5|P571|a6|P528|a7|P972
QX37|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3708991265774/8.54368912983399|P571|+1977-00-00T00:00:00Z/9.|P528|1018|P972|Q53629101
QX38|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3713356957604/8.54364794368899|P571|+1957-00-00T00:00:00Z/9.|P528|73|P972|Q53629101
QX39|Lde|'im Meyershof'|P31|Q1630622|P31|Q53628296|P625|@47.3712071738409/8.54467316801005|P571|+1604-00-00T00:00:00Z/9.|P528|13|P972|Q53629101
QX40|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3707847165784/8.54540839731281|P571|+nan-00-00T00:00:00Z/9.|P528|740|P972|Q53629101
QX41|Lde|'Limmatquai'|P31|Q1630622|P31|Q53628296|P625|@47.3679115705055/8.54504701411073|P571|+1908-00-00T00:00:00Z/9.|P528|43|P972|Q53629101
QX42|Lde|'Hintermünsterbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3702608508687/8.5446755919759|P571|+1861-00-00T00:00:00Z/9.|P528|23|P972|Q53629101
QX43|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3704732785754/8.54380656656136|P571|+1838-00-00T00:00:00Z/9.|P528|22|P972|Q53629101
QX44|Lde|'Klausbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3696145515935/8.54539456186524|P571|+1591-00-00T00:00:00Z/9.|P528|12|P972|Q53629101
QX45|Lde|'In der Chellen'|P31|Q1630622|P31|Q53628761|P625|@47.3519683759788/8.5957375028035|P571|+1907-00-00T00:00:00Z/9.|P528|709|P972|Q53629101
QX46|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3706642055738/8.54664899132904|P571|+1900-00-00T00:00:00Z/9.|P528|27|P972|Q53629101
QX47|Lde||P31|Q1630622|P31|Q53628618|P625|@47.3705661397687/8.54733802123941|P571|+nan-00-00T00:00:00Z/9.|P528|523|P972|Q53629101
QX48|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3708853803095/8.54770320009468|P571|+1726-00-00T00:00:00Z/9.|P528|15|P972|Q53629101
QX49|Lde|'Trittligasse'|P31|Q1630622|P31|Q53628296|P625|@47.3697231203381/8.54660045948071|P571|+1842-00-00T00:00:00Z/9.|P528|20|P972|Q53629101
QX50|Lde|'oberer Hirschengraben'|P31|Q1630622|P31|Q53628296|P625|@47.3694510740164/8.54770602317566|P571|+1866-00-00T00:00:00Z/9.|P528|25|P972|Q53629101
QX51|Lde|'Quelle und Brunnen'|P31|Q1630622|P31|Q53628761|P625|@47.3626673437507/8.57920064623949|P571|+nan-00-00T00:00:00Z/9.|P528|723|P972|Q53629101
QX52|Lde|'Fischmarkt-, Samsonbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3710498210447/8.54309209238568|P571|+1431-00-00T00:00:00Z/9.|P528|4|P972|Q53629101
QX53|Lde||P31|Q1630622|P31|Q53628296|P625|@47.358603749321/8.59039471922419|P571|+1950-00-00T00:00:00Z/9.|P528|362|P972|Q53629101
QX54|Lde||P31|Q1630622|P31|Q53630002|P625|@47.361009822857/8.57573684288463|P571|+nan-00-00T00:00:00Z/9.|P528|724|P972|Q53629101
QX55|Lde|'bei der Kirche'|P31|Q1630622|P31|Q53629707|P625|@47.3574512743751/8.59469923835224|P571|+nan-00-00T00:00:00Z/9.|P528|792|P972|Q53629101
QX56|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3583720796788/8.58353175382234|P571|+1938-00-00T00:00:00Z/9.|P528|356|P972|Q53629101
QX57|Lde|'Ref. Kirchgemeinde Witikon'|P31|Q1630622|P31|Q53629707|P625|@47.3579210734699/8.58626308197243|P571|+nan-00-00T00:00:00Z/9.|P528|1004|P972|Q53629101
QX58|Lde|'unterhalb Forchstrasse'|P31|Q1630622|P31|Q53628618|P625|@47.3586410880112/8.56906444221624|P571|+1975-00-00T00:00:00Z/9.|P528|973|P972|Q53629101
QX59|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3601149674737/8.56883733712692|P571|+1928-00-00T00:00:00Z/9.|P528|307|P972|Q53629101
QX60|Lde|'Schulhaus Freiestrasse'|P31|Q1630622|P31|Q53628618|P625|@47.3632599064667/8.56276284715767|P571|+1894-00-00T00:00:00Z/9.|P528|596|P972|Q53629101
QX61|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3640729391536/8.56655997399406|P571|+1936-00-00T00:00:00Z/9.|P528|353|P972|Q53629101
QX62|Lde|'im Hof'|P31|Q1630622|P31|Q53630002|P625|@47.358668726772/8.55660629157665|P571|+1734-00-00T00:00:00Z/9.|P528|935|P972|Q53629101
QX63|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3617585920911/8.55421179450552|P571|+1903-00-00T00:00:00Z/9.|P528|392|P972|Q53629101
QX64|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3608204241465/8.55376988296863|P571|+1870-00-00T00:00:00Z/9.|P528|372|P972|Q53629101
QX65|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3555976129704/8.52926444793978|P571|+1932-00-00T00:00:00Z/9.|P528|138|P972|Q53629101
QX66|Lde|'am Kehrplatz innerhalb der Wohnkolonie'|P31|Q1630622|P31|Q53629707|P625|@47.365576109705/8.50617009326433|P571|+1945-00-00T00:00:00Z/9.|P528|763|P972|Q53629101
QX67|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3696790913282/8.49867432729943|P571|+1990-00-00T00:00:00Z/9.|P528|1149|P972|Q53629101
QX68|Lde|'Tramschleife Heuried'|P31|Q1630622|P31|Q53628296|P625|@47.3691465312294/8.50528090643701|P571|+1945-00-00T00:00:00Z/9.|P528|208|P972|Q53629101
QX69|Lde|'im Durchgang Stadthaus u. Kirche'|P31|Q1630622|P31|Q53628618|P625|@47.3695066662778/8.54105170448819|P571|+1913-00-00T00:00:00Z/9.|P528|519|P972|Q53629101
QX70|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3651631024525/8.50247409527581|P571|+1983-00-00T00:00:00Z/9.|P528|6048|P972|Q53629101
QX71|Lde|'bei Kollerwiese'|P31|Q1630622|P31|Q53628522|P625|@47.3686304842825/8.51905023597662|P571|+1979-00-00T00:00:00Z/9.|P528|6030|P972|Q53629101
QX72|Lde|'Spielplatz'|P31|Q1630622|P31|Q53628618|P625|@47.3685463762552/8.52275893321719|P571|+1975-00-00T00:00:00Z/9.|P528|987|P972|Q53629101
QX73|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3712323087783/8.52037321793385|P571|+1873-00-00T00:00:00Z/9.|P528|172|P972|Q53629101
QX74|Lde|'Schmiede Wiedikon'|P31|Q1630622|P31|Q53628296|P625|@47.3700164664548/8.52054499743759|P571|+1993-00-00T00:00:00Z/9.|P528|1167|P972|Q53629101
QX75|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3705971781998/8.51780124797126|P571|+1873-00-00T00:00:00Z/9.|P528|171|P972|Q53629101
QX76|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3693355045125/8.517577906626|P571|+1937-00-00T00:00:00Z/9.|P528|178|P972|Q53629101
QX77|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3683516223322/8.51719703726224|P571|+1953-00-00T00:00:00Z/9.|P528|183|P972|Q53629101
QX78|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3679738761682/8.51067552634511|P571|+1943-00-00T00:00:00Z/9.|P528|206|P972|Q53629101
QX79|Lde||P31|Q1630622|P31|Q53628522|P625|@47.366065787843/8.51592893977121|P571|+1979-00-00T00:00:00Z/9.|P528|6024|P972|Q53629101
QX80|Lde|'Kindergartengebäude'|P31|Q1630622|P31|Q53628618|P625|@47.3675431489385/8.51689364889029|P571|+1938-00-00T00:00:00Z/9.|P528|556|P972|Q53629101
QX81|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3701729656245/8.51191464405636|P571|+1979-00-00T00:00:00Z/9.|P528|6025|P972|Q53629101
QX82|Lde|'Goldbrunnenplatz'|P31|Q1630622|P31|Q53628296|P625|@47.370096866522/8.51354072363661|P571|+1959-00-00T00:00:00Z/9.|P528|211|P972|Q53629101
QX83|Lde|'Gutenbergstrasse'|P31|Q1630622|P31|Q53628296|P625|@47.365820122461/8.53008400636423|P571|+nan-00-00T00:00:00Z/9.|P528|110|P972|Q53629101
QX84|Lde|'Anlage'|P31|Q1630622|P31|Q53628296|P625|@47.3691288821622/8.52338365464948|P571|+1946-00-00T00:00:00Z/9.|P528|209|P972|Q53629101
QX85|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3712987124427/8.53009925831544|P571|+1950-00-00T00:00:00Z/9.|P528|240|P972|Q53629101
QX86|Lde|'Trinkbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3712295972174/8.52806848639843|P571|+1987-00-00T00:00:00Z/9.|P528|214|P972|Q53629101
QX87|Lde|'Tramhaltestelle'|P31|Q1630622|P31|Q53628296|P625|@47.3679978170367/8.49569671452463|P571|+1970-00-00T00:00:00Z/9.|P528|506|P972|Q53629101
QX88|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3675833553135/8.49545238708127|P571|+1941-00-00T00:00:00Z/9.|P528|426|P972|Q53629101
QX89|Lde|'neben der Augustinerkirche'|P31|Q1630622|P31|Q53629707|P625|@47.3716495305713/8.53958964387317|P571|+nan-00-00T00:00:00Z/9.|P528|760|P972|Q53629101
QX90|Lde|'Zentralhof'|P31|Q1630622|P31|Q53628296|P625|@47.3693139100812/8.54008802918124|P571|+1877-00-00T00:00:00Z/9.|P528|35|P972|Q53629101
QX91|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3686964568866/8.53431054750835|P571|+1940-00-00T00:00:00Z/9.|P528|151|P972|Q53629101
QX92|Lde||P31|Q1630622|P31|Q53629707|P625|@47.368185300339/8.53273332116729|P571|+nan-00-00T00:00:00Z/9.|P528|780|P972|Q53629101
QX93|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3695565748357/8.53206454683219|P571|+1859-00-00T00:00:00Z/9.|P528|21|P972|Q53629101
QX94|Lde|'Fraumünsterdurchgang'|P31|Q1630622|P31|Q53628296|P625|@47.3695981085697/8.54154756383328|P571|+1742-00-00T00:00:00Z/9.|P528|1090|P972|Q53629101
QX95|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3701668891081/8.54140355432617|P571|+1977-00-00T00:00:00Z/9.|P528|6006|P972|Q53629101
QX96|Lde|'Junobrunnen beim Paradeplatz'|P31|Q1630622|P31|Q53628296|P625|@47.3700754020961/8.53941075626879|P571|+1872-00-00T00:00:00Z/9.|P528|3|P972|Q53629101
QX97|Lde|'beim Kiosk (Anlagage Sihlhölzli)'|P31|Q1630622|P31|Q53628296|P625|@47.3670710952963/8.52365150532653|P571|+1931-00-00T00:00:00Z/9.|P528|198|P972|Q53629101
QX98|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3679160298534/8.52615691547032|P571|+1931-00-00T00:00:00Z/9.|P528|199|P972|Q53629101
QX99|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3672365618305/8.525117297865041|P571|+1931-00-00T00:00:00Z/9.|P528|199|P972|Q53629101
QX100|Lde|'Mosaikbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.364618765211/8.53783283201596|P571|+1909-00-00T00:00:00Z/9.|P528|125|P972|Q53629101
QX101|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3672526501687/8.53725302241865|P571|+1978-00-00T00:00:00Z/9.|P528|6020|P972|Q53629101
QX102|Lde|'Delphinbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3676719394868/8.53154560233299|P571|+1770-00-00T00:00:00Z/9.|P528|94|P972|Q53629101
QX103|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3684327432953/8.53731914256421|P571|+1933-00-00T00:00:00Z/9.|P528|54|P972|Q53629101
QX104|Lde|'Bärenplätzli'|P31|Q1630622|P31|Q53628296|P625|@47.3691503739062/8.53607523740807|P571|+1982-00-00T00:00:00Z/9.|P528|1065|P972|Q53629101
QX105|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3713134734575/8.53581763693168|P571|+1820-00-00T00:00:00Z/9.|P528|18|P972|Q53629101
QX106|Lde|'Geiserbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3670699583517/8.54160002706979|P571|+1911-00-00T00:00:00Z/9.|P528|46|P972|Q53629101
QX107|Lde|'Rebekkabrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3670107701401/8.54000800471161|P571|+1909-00-00T00:00:00Z/9.|P528|45|P972|Q53629101
QX108|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3634454445072/8.53550834850108|P571|+1945-00-00T00:00:00Z/9.|P528|156|P972|Q53629101
QX109|Lde|'Hotel Atlantis'|P31|Q1630622|P31|Q53629707|P625|@47.3623180334902/8.495870657402|P571|+nan-00-00T00:00:00Z/9.|P528|776|P972|Q53629101
QX110|Lde|'Spielplatz Friesenberg'|P31|Q1630622|P31|Q53628296|P625|@47.3639834937319/8.5014530405204|P571|+1930-00-00T00:00:00Z/9.|P528|196|P972|Q53629101
QX111|Lde|'Schulhaus Friesenberg'|P31|Q1630622|P31|Q53628618|P625|@47.3602374590107/8.50541495273823|P571|+1931-00-00T00:00:00Z/9.|P528|558|P972|Q53629101
QX112|Lde|'Schulhaus Friesenberg'|P31|Q1630622|P31|Q53628618|P625|@47.3586842726441/8.50575447082796|P571|+1931-00-00T00:00:00Z/9.|P528|558|P972|Q53629101
QX113|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3583545392409/8.52690319355957|P571|+1987-00-00T00:00:00Z/9.|P528|6064|P972|Q53629101
QX114|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3576382134768/8.508963505438|P571|+1937-00-00T00:00:00Z/9.|P528|204|P972|Q53629101
QX115|Lde|'Ecke Uetlibergstrasse'|P31|Q1630622|P31|Q53628296|P625|@47.3578045728675/8.51440727340564|P571|+1937-00-00T00:00:00Z/9.|P528|203|P972|Q53629101
QX116|Lde|'Schulpavillon'|P31|Q1630622|P31|Q53628618|P625|@47.3589016282586/8.51160938931645|P571|+1947-00-00T00:00:00Z/9.|P528|559|P972|Q53629101
QX117|Lde|'Anlage bei Kirche Enge'|P31|Q1630622|P31|Q53628296|P625|@47.3627453503176/8.52913411922935|P571|+1906-00-00T00:00:00Z/9.|P528|122|P972|Q53629101
QX118|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3594439014101/8.5356831895489|P571|+1909-00-00T00:00:00Z/9.|P528|126|P972|Q53629101
QX119|Lde|'Seerestaurant'|P31|Q1630622|P31|Q53628296|P625|@47.358716402282/8.53597343418616|P571|+nan-00-00T00:00:00Z/9.|P528|960|P972|Q53629101
QX120|Lde|'Seerestaurant'|P31|Q1630622|P31|Q53628296|P625|@47.3588653495294/8.53615084351527|P571|+nan-00-00T00:00:00Z/9.|P528|960|P972|Q53629101
QX121|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3574255860392/8.52807415895562|P571|+1926-00-00T00:00:00Z/9.|P528|132|P972|Q53629101
QX122|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3593186132369/8.52929641325548|P571|+1887-00-00T00:00:00Z/9.|P528|100|P972|Q53629101
QX123|Lde|'Rieterpark'|P31|Q1630622|P31|Q53628618|P625|@47.3577412514466/8.53059331465581|P571|+nan-00-00T00:00:00Z/9.|P528|534|P972|Q53629101
QX124|Lde|'Schulhaus Gabler'|P31|Q1630622|P31|Q53628618|P625|@47.3602951609167/8.52943676559955|P571|+1887-00-00T00:00:00Z/9.|P528|535|P972|Q53629101
QX125|Lde|'Rieterpark'|P31|Q1630622|P31|Q53628618|P625|@47.3577798321031/8.5308196481969|P571|+1888-00-00T00:00:00Z/9.|P528|1176|P972|Q53629101
QX126|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3957249783115/8.53190368042592|P571|+1936-00-00T00:00:00Z/9.|P528|460|P972|Q53629101
QX127|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3983052533451/8.53641315971307|P571|+1942-00-00T00:00:00Z/9.|P528|298|P972|Q53629101
QX128|Lde|'Schulhaus Milchbuck'|P31|Q1630622|P31|Q53628296|P625|@47.3949454994658/8.53672501085985|P571|+1930-00-00T00:00:00Z/9.|P528|288|P972|Q53629101
QX129|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3930121780209/8.52236556806954|P571|+1930-00-00T00:00:00Z/9.|P528|457|P972|Q53629101
QX130|Lde|'Josefswiese'|P31|Q1630622|P31|Q53628296|P625|@47.3862406339402/8.52279799210716|P571|+1928-00-00T00:00:00Z/9.|P528|250|P972|Q53629101
QX131|Lde|'Turnhalle und hinter Spielwiese'|P31|Q1630622|P31|Q53628618|P625|@47.3913934481016/8.53023450408021|P571|+1938-00-00T00:00:00Z/9.|P528|640|P972|Q53629101
QX132|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3928891122518/8.53019560175263|P571|+1980-00-00T00:00:00Z/9.|P528|6032|P972|Q53629101
QX133|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3924490138925/8.52797049560137|P571|+1942-00-00T00:00:00Z/9.|P528|444|P972|Q53629101
QX134|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3982034178891/8.53283487628004|P571|+1956-00-00T00:00:00Z/9.|P528|302|P972|Q53629101
QX135|Lde|'Wasserspielplatz'|P31|Q1630622|P31|Q53628618|P625|@47.3928691231569/8.51988606382445|P571|+1955-00-00T00:00:00Z/9.|P528|647|P972|Q53629101
QX136|Lde|'Turnhalle und hinter Spielwiese'|P31|Q1630622|P31|Q53628618|P625|@47.3902916455421/8.53154048192361|P571|+1938-00-00T00:00:00Z/9.|P528|640|P972|Q53629101
QX137|Lde|'Trinkbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3887529262273/8.53382061209883|P571|+1928-00-00T00:00:00Z/9.|P528|456|P972|Q53629101
QX138|Lde|'Trinkbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3886715132221/8.533686630992129|P571|+1928-00-00T00:00:00Z/9.|P528|456|P972|Q53629101
QX139|Lde|'Wasserspiel'|P31|Q1630622|P31|Q53628296|P625|@47.3886575304577/8.53384083745153|P571|+1929-00-00T00:00:00Z/9.|P528|455|P972|Q53629101
QX140|Lde|'Schulhaus Letten Im Hofe'|P31|Q1630622|P31|Q53628618|P625|@47.3892268661614/8.53309275096994|P571|+1914-00-00T00:00:00Z/9.|P528|637|P972|Q53629101
QX141|Lde|'Vorplatz Kirche Letten'|P31|Q1630622|P31|Q53628296|P625|@47.3895902181427/8.53124988029086|P571|+1955-00-00T00:00:00Z/9.|P528|463|P972|Q53629101
QX142|Lde|'Schindlergut'|P31|Q1630622|P31|Q53628618|P625|@47.3865884472684/8.53605006917533|P571|+1979-00-00T00:00:00Z/9.|P528|1041|P972|Q53629101
QX143|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3911357745477/8.53642498764952|P571|+1980-00-00T00:00:00Z/9.|P528|6031|P972|Q53629101
QX144|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3931740633834/8.53554008666099|P571|+1905-00-00T00:00:00Z/9.|P528|269|P972|Q53629101
QX145|Lde|'Restaurant Rose'|P31|Q1630622|P31|Q53628296|P625|@47.3910561172654/8.52642947987744|P571|+1904-00-00T00:00:00Z/9.|P528|513|P972|Q53629101
QX146|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3923205091581/8.52460011603809|P571|+1883-00-00T00:00:00Z/9.|P528|440|P972|Q53629101
QX147|Lde|'vav. Sportplatz Utogrund'|P31|Q1630622|P31|Q53628296|P625|@47.379123975666/8.49548949766459|P571|+1936-00-00T00:00:00Z/9.|P528|422|P972|Q53629101
QX148|Lde|'Sportplatz Utogrund'|P31|Q1630622|P31|Q53628618|P625|@47.3793368183651/8.49592088262008|P571|+nan-00-00T00:00:00Z/9.|P528|920|P972|Q53629101
QX149|Lde|'Bänkelsänger'|P31|Q1630622|P31|Q53628296|P625|@47.3794492258348/8.51126627278613|P571|+1967-00-00T00:00:00Z/9.|P528|241|P972|Q53629101
QX150|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3800465046313/8.5127324188966|P571|+1933-00-00T00:00:00Z/9.|P528|234|P972|Q53629101
QX151|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3792412602291/8.51195090678704|P571|+1933-00-00T00:00:00Z/9.|P528|234|P972|Q53629101
QX152|Lde|'Schulhaus Sihlfeld'|P31|Q1630622|P31|Q53628618|P625|@47.3808261437078/8.51466089603651|P571|+1918-00-00T00:00:00Z/9.|P528|568|P972|Q53629101
QX153|Lde|'Heiligfeld, beim Hügel'|P31|Q1630622|P31|Q53628296|P625|@47.3799426976376/8.50436836442791|P571|+1955-00-00T00:00:00Z/9.|P528|564|P972|Q53629101
QX154|Lde|'Tramwartehäuschen'|P31|Q1630622|P31|Q53628296|P625|@47.3811888558965/8.50312445679666|P571|+1930-00-00T00:00:00Z/9.|P528|507|P972|Q53629101
QX155|Lde||P31|Q1630622|P31|Q53628296|P625|@47.384961583709/8.49872571152565|P571|+1991-00-00T00:00:00Z/9.|P528|1159|P972|Q53629101
QX156|Lde|'Trinkbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3823478214858/8.53542861168816|P571|+1930-00-00T00:00:00Z/9.|P528|252|P972|Q53629101
