qid|a1|Lde|a2|P31|a3|P31_2|a4|P625|a5|P571|a6|P528|a7|P972
QX326|Lde||P31|Q1630622|P31|Q53629707|P625|@47.369241374462/8.54971210702288|P571|+1986-00-00T00:00:00Z/9.|P528|1117|P972|Q53629101
QX327|Lde|'Freibad Allenmoos'|P31|Q1630622|P31|Q53628618|P625|@47.4044696803023/8.53850747437515|P571|+nan-00-00T00:00:00Z/9.|P528|702|P972|Q53629101
QX328|Lde|'Freibad Allenmoos'|P31|Q1630622|P31|Q53628618|P625|@47.4052137476489/8.53840387003706|P571|+nan-00-00T00:00:00Z/9.|P528|702|P972|Q53629101
QX329|Lde|'Tramschleife Wartau'|P31|Q1630622|P31|Q53628296|P625|@47.4024074359764/8.49310678624409|P571|+1947-00-00T00:00:00Z/9.|P528|462|P972|Q53629101
QX330|Lde|'Rest. Waid'|P31|Q1630622|P31|Q53628296|P625|@47.3996289534262/8.51430847819341|P571|+1984-00-00T00:00:00Z/9.|P528|1089|P972|Q53629101
QX331|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4021632057648/8.4994583390809|P571|+1928-00-00T00:00:00Z/9.|P528|454|P972|Q53629101
QX332|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4028181157704/8.49993331250756|P571|+1957-00-00T00:00:00Z/9.|P528|465|P972|Q53629101
QX333|Lde|'vor Stadion Hardturm'|P31|Q1630622|P31|Q53628296|P625|@47.3938070069261/8.50523573452451|P571|+1932-00-00T00:00:00Z/9.|P528|254|P972|Q53629101
QX334|Lde|'Tramstation Hardturm, Trinkbrunnen'|P31|Q1630622|P31|Q53628618|P625|@47.3941945854031/8.50369479901882|P571|+1982-00-00T00:00:00Z/9.|P528|1014|P972|Q53629101
QX335|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3984845567622/8.51817788893335|P571|+1967-00-00T00:00:00Z/9.|P528|467|P972|Q53629101
QX336|Lde|'Reservoir Höngg'|P31|Q1630622|P31|Q53628618|P625|@47.4011425143159/8.5066584270811|P571|+1982-00-00T00:00:00Z/9.|P528|1068|P972|Q53629101
QX337|Lde||P31|Q1630622|P31|Q53628522|P625|@47.4019740440338/8.49910906256934|P571|+1988-00-00T00:00:00Z/9.|P528|6067|P972|Q53629101
QX338|Lde|'Kirche Höngg'|P31|Q1630622|P31|Q53628296|P625|@47.4017953330854/8.49729079966978|P571|+1961-00-00T00:00:00Z/9.|P528|466|P972|Q53629101
QX339|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4019303018721/8.49786327629036|P571|+1784-00-00T00:00:00Z/9.|P528|433|P972|Q53629101
QX340|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4036435053773/8.49649828498949|P571|+1825-00-00T00:00:00Z/9.|P528|439|P972|Q53629101
QX341|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4029999627763/8.49617838499559|P571|+1789-00-00T00:00:00Z/9.|P528|434|P972|Q53629101
QX342|Lde||P31|Q1630622|P31|Q53628296|P625|@47.402320522625/8.49558088327621|P571|+1883-00-00T00:00:00Z/9.|P528|441|P972|Q53629101
QX343|Lde|'Spielplatz'|P31|Q1630622|P31|Q53628618|P625|@47.399663401212/8.52197678392144|P571|+nan-00-00T00:00:00Z/9.|P528|693|P972|Q53629101
QX344|Lde|'Schulhaus Waidhalde, Turnhalle'|P31|Q1630622|P31|Q53628618|P625|@47.3974190446232/8.52669052895101|P571|+nan-00-00T00:00:00Z/9.|P528|639|P972|Q53629101
QX345|Lde|'obere Waidstrasse'|P31|Q1630622|P31|Q53628296|P625|@47.3984545211026/8.53009477424578|P571|+1937-00-00T00:00:00Z/9.|P528|436|P972|Q53629101
QX346|Lde|'unterer Spielplatz'|P31|Q1630622|P31|Q53628761|P625|@47.3996950879952/8.52962846008764|P571|+1978-00-00T00:00:00Z/9.|P528|1026|P972|Q53629101
QX347|Lde|'Schulhaus Allenmoos I'|P31|Q1630622|P31|Q53628618|P625|@47.401875271588096/8.53887316458812|P571|+nan-00-00T00:00:00Z/9.|P528|592|P972|Q53629101
QX348|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4076884928266/8.5307338573683|P571|+1946-00-00T00:00:00Z/9.|P528|488|P972|Q53629101
QX349|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3933947997221/8.52491009636466|P571|+1940-00-00T00:00:00Z/9.|P528|461|P972|Q53629101
QX350|Lde|'Schulhaus Holderbach'|P31|Q1630622|P31|Q53628618|P625|@47.4188821684325/8.50412133746063|P571|+1959-00-00T00:00:00Z/9.|P528|685|P972|Q53629101
QX351|Lde|'Schulhaus Waidhalde, Turnhalle'|P31|Q1630622|P31|Q53628618|P625|@47.3967438057517/8.52655654624924|P571|+nan-00-00T00:00:00Z/9.|P528|639|P972|Q53629101
QX352|Lde|'beim Altersheim'|P31|Q1630622|P31|Q53629707|P625|@47.4169302931047/8.54605611036367|P571|+1977-00-00T00:00:00Z/9.|P528|1006|P972|Q53629101
QX353|Lde||P31|Q1630622|P31|Q53629707|P625|@47.4302236254504/8.53696680676664|P571|+1964-00-00T00:00:00Z/9.|P528|752|P972|Q53629101
QX354|Lde|'Asphofbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.4291243092428/8.54181447106764|P571|+1982-00-00T00:00:00Z/9.|P528|1067|P972|Q53629101
QX355|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4002703171926/8.5859195616573|P571|+1946-00-00T00:00:00Z/9.|P528|500|P972|Q53629101
QX356|Lde|'Gemeinschaftszentrum Auzelg'|P31|Q1630622|P31|Q53628296|P625|@47.4134326961619/8.57182464254891|P571|+1982-00-00T00:00:00Z/9.|P528|1069|P972|Q53629101
QX357|Lde|'bei Sportplatz'|P31|Q1630622|P31|Q53628296|P625|@47.409288884409/8.49486043071496|P571|+1984-00-00T00:00:00Z/9.|P528|1091|P972|Q53629101
QX358|Lde|'oberhalb Europabrücke'|P31|Q1630622|P31|Q53628618|P625|@47.3974073835819/8.50003238042047|P571|+1981-00-00T00:00:00Z/9.|P528|1050|P972|Q53629101
QX359|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4034077599765/8.5860336509835|P571|+1994-00-00T00:00:00Z/9.|P528|1172|P972|Q53629101
QX360|Lde||P31|Q1630622|P31|Q53628296|P625|@47.422974426709104/8.5421850444906|P571|+nan-00-00T00:00:00Z/9.|P528|470|P972|Q53629101
QX361|Lde|'Schulhaus Heinrich Bosshardstrasse'|P31|Q1630622|P31|Q53628618|P625|@47.4026335795531/8.57098817554629|P571|+nan-00-00T00:00:00Z/9.|P528|657|P972|Q53629101
QX362|Lde||P31|Q1630622|P31|Q53629707|P625|@47.4026392022782/8.56882861535148|P571|+1981-00-00T00:00:00Z/9.|P528|870|P972|Q53629101
QX363|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4191420184867/8.50708778519119|P571|+1954-00-00T00:00:00Z/9.|P528|490|P972|Q53629101
QX364|Lde||P31|Q1630622|P31|Q53628618|P625|@47.4215401016532/8.51245013352786|P571|+nan-00-00T00:00:00Z/9.|P528|800|P972|Q53629101
QX365|Lde|'bei Spielwiese'|P31|Q1630622|P31|Q53628296|P625|@47.4064314177816/8.54178929173512|P571|+1935-00-00T00:00:00Z/9.|P528|479|P972|Q53629101
QX366|Lde|'Sportanlage Eichrain'|P31|Q1630622|P31|Q53628296|P625|@47.4285329932406/8.54843040357988|P571|+1996-00-00T00:00:00Z/9.|P528|1189|P972|Q53629101
QX367|Lde|'Kranzbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.4028094407421/8.50081986847687|P571|+nan-00-00T00:00:00Z/9.|P528|437|P972|Q53629101
QX368|Lde||P31|Q1630622|P31|Q53628618|P625|@47.4163427197912/8.51328996166194|P571|+1989-00-00T00:00:00Z/9.|P528|1140|P972|Q53629101
QX369|Lde|'Schuhlhaus Buhnrain 40'|P31|Q1630622|P31|Q53628618|P625|@47.4207140823214/8.54287900107929|P571|+nan-00-00T00:00:00Z/9.|P528|652|P972|Q53629101
QX370|Lde||P31|Q1630622|P31|Q53628296|P625|@47.4185263749806/8.51907284796798|P571|+1982-00-00T00:00:00Z/9.|P528|1066|P972|Q53629101
QX371|Lde|'bei Kiosk'|P31|Q1630622|P31|Q53629707|P625|@47.4080433586513/8.50805908549054|P571|+1974-00-00T00:00:00Z/9.|P528|971|P972|Q53629101
QX372|Lde|'Bahnhof Seebach'|P31|Q1630622|P31|Q53629707|P625|@47.4188924591991/8.54502089555301|P571|+nan-00-00T00:00:00Z/9.|P528|903|P972|Q53629101
QX373|Lde|'Birkenwäldli'|P31|Q1630622|P31|Q53628296|P625|@47.4090066759779/8.53506301498848|P571|+nan-00-00T00:00:00Z/9.|P528|475|P972|Q53629101
QX374|Lde|'beim Spielplatz'|P31|Q1630622|P31|Q53628761|P625|@47.398475751941604/8.57367330091046|P571|+nan-00-00T00:00:00Z/9.|P528|1059|P972|Q53629101
QX375|Lde||P31|Q1630622|P31|Q53628522|P625|@47.4141608504554/8.51956585434974|P571|+1985-00-00T00:00:00Z/9.|P528|6059|P972|Q53629101
QX376|Lde|'Kirche'|P31|Q1630622|P31|Q53629707|P625|@47.4058905033117/8.54619278318774|P571|+1956-00-00T00:00:00Z/9.|P528|756|P972|Q53629101
QX377|Lde|'Heizenholz'|P31|Q1630622|P31|Q53628761|P625|@47.4146811183985/8.4846079281003|P571|+nan-00-00T00:00:00Z/9.|P528|704|P972|Q53629101
QX378|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3937764446735/8.54053305106676|P571|+1931-00-00T00:00:00Z/9.|P528|291|P972|Q53629101
QX379|Lde|'Tramhaltestelle, Michbuck'|P31|Q1630622|P31|Q53628296|P625|@47.3977280909409/8.54200389919239|P571|+1986-00-00T00:00:00Z/9.|P528|1118|P972|Q53629101
QX380|Lde|'Bambibrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3935782837564/8.54473763581685|P571|+1931-00-00T00:00:00Z/9.|P528|290|P972|Q53629101
QX381|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3958818489264/8.54517329627865|P571|+1929-00-00T00:00:00Z/9.|P528|287|P972|Q53629101
QX382|Lde|'Irchelpark beim Restaurant Neubühl'|P31|Q1630622|P31|Q53628296|P625|@47.3969453357168/8.54516417283915|P571|+1986-00-00T00:00:00Z/9.|P528|1119|P972|Q53629101
QX383|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3999716141089/8.54334771944293|P571|+1958-00-00T00:00:00Z/9.|P528|262|P972|Q53629101
QX384|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3864181120297/8.56089798400499|P571|+1949-00-00T00:00:00Z/9.|P528|361|P972|Q53629101
QX385|Lde||P31|Q1630622|P31|Q53628296|P625|@47.388050543204/8.54795268010163|P571|+1912-00-00T00:00:00Z/9.|P528|275|P972|Q53629101
QX386|Lde||P31|Q1630622|P31|Q53628296|P625|@47.391029535087/8.53901591933798|P571|+1949-00-00T00:00:00Z/9.|P528|301|P972|Q53629101
QX387|Lde|'Schulhaus Röslistrasse   Turnhalle'|P31|Q1630622|P31|Q53628618|P625|@47.3883148477562/8.5419911108267|P571|+1925-00-00T00:00:00Z/9.|P528|583|P972|Q53629101
QX388|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3871068324755/8.54114957161119|P571|+1910-00-00T00:00:00Z/9.|P528|274|P972|Q53629101
QX389|Lde|'Purtschert-Brunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3894259483366/8.53886803199421|P571|+1983-00-00T00:00:00Z/9.|P528|1083|P972|Q53629101
QX390|Lde|'Haupteingang Schulhaus'|P31|Q1630622|P31|Q53628296|P625|@47.3892915155475/8.54009642781533|P571|+1945-00-00T00:00:00Z/9.|P528|300|P972|Q53629101
QX391|Lde|'Schulhaus Weinbergstrasse'|P31|Q1630622|P31|Q53628618|P625|@47.3891028712541/8.53998403472598|P571|+1945-00-00T00:00:00Z/9.|P528|589|P972|Q53629101
QX392|Lde||P31|Q1630622|P31|Q53628296|P625|@47.391420830732/8.54621435976124|P571|+1925-00-00T00:00:00Z/9.|P528|281|P972|Q53629101
QX393|Lde||P31|Q1630622|P31|Q53628761|P625|@47.3906967250113/8.56704484199815|P571|+nan-00-00T00:00:00Z/9.|P528|725|P972|Q53629101
QX394|Lde|'Bannholzstrasse/Waldhüslistrasse'|P31|Q1630622|P31|Q53628761|P625|@47.3926331279841/8.56345222660349|P571|+nan-00-00T00:00:00Z/9.|P528|726|P972|Q53629101
QX395|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3877766991009/8.55364047065612|P571|+1915-00-00T00:00:00Z/9.|P528|278|P972|Q53629101
QX396|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3865375586287/8.55147956260176|P571|+1934-00-00T00:00:00Z/9.|P528|295|P972|Q53629101
QX397|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3873582865585/8.55127931099621|P571|+1981-00-00T00:00:00Z/9.|P528|1072|P972|Q53629101
QX398|Lde||P31|Q1630622|P31|Q53630002|P625|@47.3929266305752/8.55118421577638|P571|+nan-00-00T00:00:00Z/9.|P528|818|P972|Q53629101
QX399|Lde|'Spielplatzanlage'|P31|Q1630622|P31|Q53628296|P625|@47.3868454636803/8.54649246537129|P571|+1929-00-00T00:00:00Z/9.|P528|286|P972|Q53629101
QX400|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3876661651778/8.54402667444188|P571|+1933-00-00T00:00:00Z/9.|P528|292|P972|Q53629101
QX401|Lde|'Schulhaus Riedtlistrasse'|P31|Q1630622|P31|Q53628618|P625|@47.3890004125705/8.5434564655035|P571|+nan-00-00T00:00:00Z/9.|P528|584|P972|Q53629101
QX402|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3888625716648/8.54445596862912|P571|+1919-00-00T00:00:00Z/9.|P528|279|P972|Q53629101
QX403|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3880777780899/8.54558478623174|P571|+1912-00-00T00:00:00Z/9.|P528|276|P972|Q53629101
QX404|Lde||P31|Q1630622|P31|Q53628296|P625|@47.379325386701/8.54706601224413|P571|+1943-00-00T00:00:00Z/9.|P528|299|P972|Q53629101
QX405|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3800813746755/8.54829806174125|P571|+1905-00-00T00:00:00Z/9.|P528|297|P972|Q53629101
QX406|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3836037252271/8.54809672203812|P571|+1903-00-00T00:00:00Z/9.|P528|263|P972|Q53629101
QX407|Lde||P31|Q1630622|P31|Q53628296|P625|@47.384550360895/8.54860175655567|P571|+1907-00-00T00:00:00Z/9.|P528|272|P972|Q53629101
QX408|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3838035582991/8.54233834252284|P571|+1927-00-00T00:00:00Z/9.|P528|283|P972|Q53629101
QX409|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3857015132193/8.54100954675247|P571|+1906-00-00T00:00:00Z/9.|P528|271|P972|Q53629101
QX410|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3858668405471/8.5396533479204|P571|+1903-00-00T00:00:00Z/9.|P528|267|P972|Q53629101
QX411|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3797982795983/8.55508891819504|P571|+1907-00-00T00:00:00Z/9.|P528|330|P972|Q53629101
QX412|Lde|'Zoo-Eingang'|P31|Q1630622|P31|Q53628296|P625|@47.3840891179224/8.57428638976033|P571|+1935-00-00T00:00:00Z/9.|P528|352|P972|Q53629101
QX413|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3817454058599/8.57153354677401|P571|+1929-00-00T00:00:00Z/9.|P528|344|P972|Q53629101
QX414|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3794554817019/8.55991195373351|P571|+1914-00-00T00:00:00Z/9.|P528|341|P972|Q53629101
QX415|Lde|'beim Pavillon'|P31|Q1630622|P31|Q53628296|P625|@47.3802411078364/8.53966722965695|P571|+1955-00-00T00:00:00Z/9.|P528|70|P972|Q53629101
QX416|Lde|'Platzspitz-Brunnen'|P31|Q1630622|P31|Q53628296|P625|@47.382202900011/8.53892031210551|P571|+1955-00-00T00:00:00Z/9.|P528|71|P972|Q53629101
QX417|Lde|'Pilgerbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.382146444671/8.5419151211313|P571|+1933-00-00T00:00:00Z/9.|P528|293|P972|Q53629101
QX418|Lde|'oberhalb Friedhof Fluntern'|P31|Q1630622|P31|Q53628761|P625|@47.383588284531/8.57012166510765|P571|+1950-00-00T00:00:00Z/9.|P528|706|P972|Q53629101
QX419|Lde|'Manneken-Pis'|P31|Q1630622|P31|Q53628296|P625|@47.3830451305249/8.54368250064704|P571|+1910-00-00T00:00:00Z/9.|P528|273|P972|Q53629101
QX420|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3833927799735/8.54510099736272|P571|+1988-00-00T00:00:00Z/9.|P528|1131|P972|Q53629101
QX421|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3822117049903/8.54476438657854|P571|+1903-00-00T00:00:00Z/9.|P528|265|P972|Q53629101
QX422|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3810214727391/8.54561110442382|P571|+1903-00-00T00:00:00Z/9.|P528|264|P972|Q53629101
QX423|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3791264762692/8.54620142386358|P571|+1904-00-00T00:00:00Z/9.|P528|268|P972|Q53629101
QX424|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3791646801321/8.54467188086653|P571|+1934-00-00T00:00:00Z/9.|P528|296|P972|Q53629101
QX425|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3800041632191/8.54288127120783|P571|+1938-00-00T00:00:00Z/9.|P528|60|P972|Q53629101
QX426|Lde||P31|Q1630622|P31|Q53628296|P625|@47.376630197852/8.55498342736469|P571|+1905-00-00T00:00:00Z/9.|P528|325|P972|Q53629101
QX427|Lde|'bei Kirche Fluntern'|P31|Q1630622|P31|Q53628296|P625|@47.3771913341575/8.55702180521717|P571|+1933-00-00T00:00:00Z/9.|P528|347|P972|Q53629101
QX428|Lde||P31|Q1630622|P31|Q53628296|P625|@47.378501606229904/8.55582808135493|P571|+1903-00-00T00:00:00Z/9.|P528|316|P972|Q53629101
QX429|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3753313595181/8.54864564063457|P571|+1984-00-00T00:00:00Z/9.|P528|1097|P972|Q53629101
QX430|Lde|'Sternwarte'|P31|Q1630622|P31|Q53628296|P625|@47.3777353135044/8.55060316825702|P571|+1984-00-00T00:00:00Z/9.|P528|1088|P972|Q53629101
QX431|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3772013317812/8.54816371647235|P571|+1920-00-00T00:00:00Z/9.|P528|737|P972|Q53629101
QX432|Lde|'Berliner-Brunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3771645560163/8.54217959535725|P571|+1987-00-00T00:00:00Z/9.|P528|68|P972|Q53629101
QX433|Lde|'bei Du Pont'|P31|Q1630622|P31|Q53628296|P625|@47.3761879901974/8.54159185202838|P571|+1913-00-00T00:00:00Z/9.|P528|48|P972|Q53629101
QX434|Lde|'bei der Platzpromenade'|P31|Q1630622|P31|Q53628296|P625|@47.3787970430693/8.54153482960789|P571|+1933-00-00T00:00:00Z/9.|P528|36|P972|Q53629101
QX435|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3785485756236/8.55190488068016|P571|+1907-00-00T00:00:00Z/9.|P528|333|P972|Q53629101
QX436|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3813988673923/8.55091033717948|P571|+1994-00-00T00:00:00Z/9.|P528|6074|P972|Q53629101
QX437|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3822410780948/8.55202293867525|P571|+1934-00-00T00:00:00Z/9.|P528|294|P972|Q53629101
QX438|Lde|'Herrenbrünneli'|P31|Q1630622|P31|Q53628761|P625|@47.3734823977245/8.59821655376416|P571|+1996-00-00T00:00:00Z/9.|P528|711|P972|Q53629101
QX439|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3736490781026/8.56150907068436|P571|+1944-00-00T00:00:00Z/9.|P528|320|P972|Q53629101
QX440|Lde|'Doldertal'|P31|Q1630622|P31|Q53628296|P625|@47.3725940287361/8.5635546103621|P571|+1933-00-00T00:00:00Z/9.|P528|348|P972|Q53629101
QX441|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3724962680554/8.56623504470618|P571|+1907-00-00T00:00:00Z/9.|P528|332|P972|Q53629101
QX442|Lde|'Dermatologie-Gebäude'|P31|Q1630622|P31|Q53629707|P625|@47.3764661566101/8.55284117407572|P571|+nan-00-00T00:00:00Z/9.|P528|931|P972|Q53629101
QX443|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3786559225828/8.57565341815541|P571|+1909-00-00T00:00:00Z/9.|P528|335|P972|Q53629101
QX444|Lde|'im Oberhof'|P31|Q1630622|P31|Q53628296|P625|@47.3734607583372/8.55327291957134|P571|+1906-00-00T00:00:00Z/9.|P528|328|P972|Q53629101
QX445|Lde|'Kantonsschul-Turnhalle'|P31|Q1630622|P31|Q53629707|P625|@47.3737109564406/8.55120906496895|P571|+nan-00-00T00:00:00Z/9.|P528|918|P972|Q53629101
QX446|Lde||P31|Q1630622|P31|Q53629707|P625|@47.3719138795138/8.55095555155415|P571|+1990-00-00T00:00:00Z/9.|P528|1148|P972|Q53629101
QX447|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3746829313852/8.55203029099665|P571|+1938-00-00T00:00:00Z/9.|P528|355|P972|Q53629101
QX448|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3727502057449/8.56983808693013|P571|+1910-00-00T00:00:00Z/9.|P528|336|P972|Q53629101
QX449|Lde|'Rechberg'|P31|Q1630622|P31|Q53629707|P625|@47.3731841619308/8.54824305997308|P571|+1777-00-00T00:00:00Z/9.|P528|784|P972|Q53629101
QX450|Lde|'innerhalb Universität'|P31|Q1630622|P31|Q53629707|P625|@47.3751073996915/8.54818578218165|P571|+1991-00-00T00:00:00Z/9.|P528|1157|P972|Q53629101
QX451|Lde|'Gsellenbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3757548869512/8.55961927478093|P571|+1852-00-00T00:00:00Z/9.|P528|305|P972|Q53629101
QX452|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3770653955095/8.55956617758391|P571|+1935-00-00T00:00:00Z/9.|P528|351|P972|Q53629101
QX453|Lde|'Tramhaltestelle'|P31|Q1630622|P31|Q53628296|P625|@47.3765313795444/8.55965144398289|P571|+1975-00-00T00:00:00Z/9.|P528|970|P972|Q53629101
QX454|Lde|'beim Central'|P31|Q1630622|P31|Q53628296|P625|@47.3764155209249/8.54404149189729|P571|+1951-00-00T00:00:00Z/9.|P528|67|P972|Q53629101
QX455|Lde||P31|Q1630622|P31|Q53628296|P625|@47.374914092449/8.54398079779247|P571|+1945-00-00T00:00:00Z/9.|P528|64|P972|Q53629101
QX456|Lde|'Storchenbrunnen (ehemals)'|P31|Q1630622|P31|Q53628296|P625|@47.3760036366342/8.54424040246456|P571|+1876-00-00T00:00:00Z/9.|P528|32|P972|Q53629101
QX457|Lde|'Pariserbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3753376839627/8.5389287452924|P571|+1978-00-00T00:00:00Z/9.|P528|1019|P972|Q53629101
QX458|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3747033891208/8.53967290272376|P571|+1979-00-00T00:00:00Z/9.|P528|1023|P972|Q53629101
QX459|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3738224985609/8.54405376599229|P571|+1870-00-00T00:00:00Z/9.|P528|28|P972|Q53629101
QX460|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3743535446999/8.54767510992544|P571|+1973-00-00T00:00:00Z/9.|P528|954|P972|Q53629101
QX461|Lde|'Im Hofe'|P31|Q1630622|P31|Q53629707|P625|@47.3745894072508/8.54753544259949|P571|+nan-00-00T00:00:00Z/9.|P528|785|P972|Q53629101
QX462|Lde||P31|Q1630622|P31|Q53628522|P625|@47.3730332015009/8.54026782368636|P571|+1979-00-00T00:00:00Z/9.|P528|6023|P972|Q53629101
QX463|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3730074868077/8.54489342924435|P571|+1871-00-00T00:00:00Z/9.|P528|30|P972|Q53629101
QX464|Lde|'Hirschenplatz'|P31|Q1630622|P31|Q53628296|P625|@47.3731913814534/8.54392680040465|P571|+1941-00-00T00:00:00Z/9.|P528|62|P972|Q53629101
QX465|Lde|'Froschschauerbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3736211666929/8.54527430991992|P571|+1538-00-00T00:00:00Z/9.|P528|11|P972|Q53629101
QX466|Lde|'hintere Schipfe'|P31|Q1630622|P31|Q53628296|P625|@47.3732258990318/8.54170105759449|P571|+1876-00-00T00:00:00Z/9.|P528|34|P972|Q53629101
QX467|Lde||P31|Q1630622|P31|Q53628296|P625|@47.372888206757096/8.54330078718935|P571|+1967-00-00T00:00:00Z/9.|P528|72|P972|Q53629101
QX468|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3721639130589/8.54165968249626|P571|+1876-00-00T00:00:00Z/9.|P528|33|P972|Q53629101
QX469|Lde|'Schipfe'|P31|Q1630622|P31|Q53628296|P625|@47.3722315540613/8.54124447159112|P571|+1954-00-00T00:00:00Z/9.|P528|69|P972|Q53629101
QX470|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3729280570582/8.54697300889937|P571|+1836-00-00T00:00:00Z/9.|P528|19|P972|Q53629101
QX471|Lde|'Rechberg'|P31|Q1630622|P31|Q53629707|P625|@47.3730515701508/8.547955885478281|P571|+1777-00-00T00:00:00Z/9.|P528|784|P972|Q53629101
QX472|Lde|'hinter Obergericht'|P31|Q1630622|P31|Q53628618|P625|@47.3719715723317/8.54632532746724|P571|+nan-00-00T00:00:00Z/9.|P528|741|P972|Q53629101
QX473|Lde|'Augustinerkirche'|P31|Q1630622|P31|Q53628296|P625|@47.3720460935378/8.53950063064961|P571|+1537-00-00T00:00:00Z/9.|P528|10|P972|Q53629101
QX474|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3716988141736/8.5405698051918|P571|+1806-00-00T00:00:00Z/9.|P528|5|P972|Q53629101
QX475|Lde|'Amazonenbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3723314490421/8.54032116899595|P571|+1430-00-00T00:00:00Z/9.|P528|1|P972|Q53629101
QX476|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3721439653024/8.54512211333324|P571|+1725-00-00T00:00:00Z/9.|P528|16|P972|Q53629101
QX477|Lde|'Jupiterbrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3724407297427/8.54568482075287|P571|+1427-00-00T00:00:00Z/9.|P528|6|P972|Q53629101
QX478|Lde|'Stüssibrunnen'|P31|Q1630622|P31|Q53628296|P625|@47.3725037249251/8.54375801459958|P571|+1421-00-00T00:00:00Z/9.|P528|9|P972|Q53629101
QX479|Lde|'Napfplatz'|P31|Q1630622|P31|Q53628296|P625|@47.3717009888054/8.5444797653576|P571|+1567-00-00T00:00:00Z/9.|P528|8|P972|Q53629101
QX480|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3824855622449/8.56770783395436|P571|+1900-00-00T00:00:00Z/9.|P528|314|P972|Q53629101
QX481|Lde|'bei Gebäude Forstamt'|P31|Q1630622|P31|Q53628761|P625|@47.3281569480286/8.52460222342608|P571|+1994-00-00T00:00:00Z/9.|P528|1168|P972|Q53629101
QX482|Lde||P31|Q1630622|P31|Q53628296|P625|@47.3592747223251/8.55831763263|P571|+1991-00-00T00:00:00Z/9.|P528|366|P972|Q53629101
